model	objective	gene	status	value
./model.xml	obj	G_b0785	optimal	0.8769972144269647
./model.xml	obj	G_b0789	optimal	0.8769972144269591
./model.xml	obj	G_b0805	optimal	0.8769972144269675
./model.xml	obj	G_b0808	optimal	0.8769972144269711
./model.xml	obj	G_b0809	optimal	0.876997214426965
./model.xml	obj	G_b0810	optimal	0.8769972144269618
./model.xml	obj	G_b0811	optimal	0.8769972144269652
./model.xml	obj	G_b0813	optimal	0.8769972144269694
./model.xml	obj	G_b0819	optimal	0.8769972144269698
./model.xml	obj	G_b0822	optimal	0.8769972144269641
./model.xml	obj	G_b0825	optimal	0.8769972144269709
./model.xml	obj	G_b0826	optimal	0.8769972144269723
./model.xml	obj	G_b0827	optimal	0.8769972144269722
./model.xml	obj	G_b0828	optimal	0.8769972144269677
./model.xml	obj	G_b0829	optimal	0.876997214426973
./model.xml	obj	G_b0830	optimal	0.8769972144269621
./model.xml	obj	G_b0831	optimal	0.8769972144269583
./model.xml	obj	G_b0832	optimal	0.876997214426967
./model.xml	obj	G_b0837	optimal	0.8769972144269715
./model.xml	obj	G_b0839	optimal	0.8769972144269693
./model.xml	obj	G_b0841	optimal	0.8769972144269642
./model.xml	obj	G_b0842	optimal	0.8769972144269672
./model.xml	obj	G_b0844	optimal	0.8769972144269652
./model.xml	obj	G_b0849	optimal	0.8769972144269758
./model.xml	obj	G_b0854	optimal	0.8769972144269675
./model.xml	obj	G_b0855	optimal	0.8769972144269658
./model.xml	obj	G_b0856	optimal	0.8769972144269673
./model.xml	obj	G_b0857	optimal	0.8769972144269675
./model.xml	obj	G_b0860	optimal	0.8769972144270028
./model.xml	obj	G_b0861	optimal	0.8769972144269651
./model.xml	obj	G_b0862	optimal	0.8769972144269685
./model.xml	obj	G_b0863	optimal	0.8769972144269723
./model.xml	obj	G_b0864	optimal	0.8769972144269752
./model.xml	obj	G_b0867	optimal	0.8769972144269651
./model.xml	obj	G_b0870	optimal	0.8769947315394458
./model.xml	obj	G_b0871	optimal	0.8769972144269715
./model.xml	obj	G_b0874	optimal	0.8769972144269722
./model.xml	obj	G_b0875	optimal	0.8769972144269675
./model.xml	obj	G_b0886	optimal	0.876997214426976
./model.xml	obj	G_b0887	optimal	0.8769972144269745
./model.xml	obj	G_b0888	optimal	0.8769972144269644
./model.xml	obj	G_b0894	optimal	0.8769972144269688
./model.xml	obj	G_b0895	optimal	0.8769972144269674
./model.xml	obj	G_b0896	optimal	0.8769972144269724
./model.xml	obj	G_b0902	optimal	0.8769972144269644
./model.xml	obj	G_b0903	optimal	0.8769972144269698
./model.xml	obj	G_b0904	optimal	0.8769972144269725
./model.xml	obj	G_b0905	optimal	0.8769972144269729
./model.xml	obj	G_b0907	optimal	0.8593895486743861
./model.xml	obj	G_b0908	optimal	-5.1278707870962496e-14
./model.xml	obj	G_b0910	optimal	0.8752954684189205
./model.xml	obj	G_b0914	optimal	2.3212674713429624e-16
./model.xml	obj	G_b0915	optimal	0.0
./model.xml	obj	G_b0918	optimal	0.0
./model.xml	obj	G_b0925	optimal	0.8769972144269673
./model.xml	obj	G_b0928	optimal	0.8769972144269725
./model.xml	obj	G_b0929	optimal	0.8769972144269688
./model.xml	obj	G_b0931	optimal	0.8769972144269695
./model.xml	obj	G_b0932	optimal	0.8769972144269695
./model.xml	obj	G_b0933	optimal	0.8769972144269712
./model.xml	obj	G_b0934	optimal	0.8769972144269631
./model.xml	obj	G_b0935	optimal	0.876997214426975
./model.xml	obj	G_b0936	optimal	0.8769972144269709
./model.xml	obj	G_b0937	optimal	0.8769972144269735
./model.xml	obj	G_b0945	optimal	0.8769972144269703
./model.xml	obj	G_b0954	optimal	0.8769972144269672
./model.xml	obj	G_b0957	optimal	0.8769972144269672
./model.xml	obj	G_b0963	optimal	0.8769972144269648
./model.xml	obj	G_b0968	optimal	0.8769972144368758
./model.xml	obj	G_b0972	optimal	0.876997214426974
./model.xml	obj	G_b0973	optimal	0.8769972144269709
./model.xml	obj	G_b0974	optimal	0.8769972144269631
./model.xml	obj	G_b0978	optimal	0.8769972144269683
./model.xml	obj	G_b0979	optimal	0.8769972144269719
./model.xml	obj	G_b0980	optimal	0.876997214426974
./model.xml	obj	G_b0996	optimal	0.8769972144269726
./model.xml	obj	G_b0997	optimal	0.8769972144269669
./model.xml	obj	G_b1002	optimal	0.8769972144269677
./model.xml	obj	G_b1004	optimal	0.8769972144269712
./model.xml	obj	G_b1006	optimal	0.8769972144269651
./model.xml	obj	G_b1007	optimal	0.8769972144269724
./model.xml	obj	G_b1008	optimal	0.8769972144269675
./model.xml	obj	G_b1009	optimal	0.8769972144269688
./model.xml	obj	G_b1010	optimal	0.8769972144269709
./model.xml	obj	G_b1011	optimal	0.8769972144269675
./model.xml	obj	G_b1012	optimal	0.876997214426973
./model.xml	obj	G_b1014	optimal	0.8769972144269715
./model.xml	obj	G_b1015	optimal	0.8769972144269688
./model.xml	obj	G_b1019	optimal	0.8769972144269738
./model.xml	obj	G_b1021	optimal	0.8769972144269618
./model.xml	obj	G_b1022	optimal	0.8769972144269712
./model.xml	obj	G_b1025	optimal	0.8769972144269675
./model.xml	obj	G_b1033	optimal	0.8769972144269702
./model.xml	obj	G_b1054	optimal	0.8769972144269708
./model.xml	obj	G_b1059	optimal	0.8769972144269591
./model.xml	obj	G_b1062	optimal	0.0
./model.xml	obj	G_b1064	optimal	0.8769972144269675
./model.xml	obj	G_b1069	optimal	-5.068438412057016e-16
./model.xml	obj	G_b1090	optimal	0.8769972144269675
./model.xml	obj	G_b1091	optimal	0.0
./model.xml	obj	G_b1092	optimal	0.0
./model.xml	obj	G_b1093	optimal	0.0
./model.xml	obj	G_b1094	optimal	0.0
./model.xml	obj	G_b1095	optimal	0.8769972144269709
./model.xml	obj	G_b1096	optimal	0.8769972144269647
./model.xml	obj	G_b1097	optimal	0.8769972144269672
./model.xml	obj	G_b1098	optimal	0.0
./model.xml	obj	G_b1101	optimal	0.8769972144269675
./model.xml	obj	G_b1102	optimal	0.8769972144269758
./model.xml	obj	G_b1103	optimal	0.8769972144269677
./model.xml	obj	G_b1106	optimal	0.8769972144269703
./model.xml	obj	G_b1107	optimal	0.8769972144269632
./model.xml	obj	G_b1109	optimal	0.8769972144269601
./model.xml	obj	G_b1113	optimal	0.8769972144269745
./model.xml	obj	G_b1119	optimal	0.8769972144269665
./model.xml	obj	G_b1123	optimal	0.8769972145058429
./model.xml	obj	G_b1124	optimal	0.8769972144269718
./model.xml	obj	G_b1125	optimal	0.8769972144269715
./model.xml	obj	G_b1126	optimal	0.8769972144269654
./model.xml	obj	G_b1131	optimal	4.881154235498654e-16
./model.xml	obj	G_b1134	optimal	0.8769972144269729
./model.xml	obj	G_b1136	optimal	7.78557452528383e-17
