Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R_CRNBTCT	Gamma-butyrobetainyl-CoA[c] + L-Carnitine[c] <=> L-Carnitinyl-CoA[c] + Gamma-butyrobetaine[c] 	G_b0038	-1000.00	1000.00	  0.00
R_CRNCAL2	ATP C10H12N5O13P3[c] + Coenzyme A[c] + L-Carnitine[c] => ADP C10H12N5O10P2[c] + L-Carnitinyl-CoA[c] + Phosphate[c] 	G_b0037	  0.00	1000.00	  0.00
R_CRNCAR	L-Carnitinyl-CoA[c] <=> D-carnitinyl-CoA[c] 	G_b0036	-1000.00	1000.00	  0.00
R_CRNCBCT	L-Carnitine[c] + Crotonobetainyl-CoA[c] <=> L-Carnitinyl-CoA[c] + Crotonobetaine[c] 	G_b0038	-1000.00	1000.00	  0.00
R_CRNCDH	L-Carnitinyl-CoA[c] <=> Crotonobetainyl-CoA[c] + H2O H2O[c] 	G_b0036	-1000.00	1000.00	  0.00
R_CRNDCAL2	ATP C10H12N5O13P3[c] + Coenzyme A[c] + D-Carnitine[c] => ADP C10H12N5O10P2[c] + D-carnitinyl-CoA[c] + Phosphate[c] 	G_b0037	  0.00	1000.00	  0.00
R_CRNDabcpp	ATP C10H12N5O13P3[c] + D-Carnitine[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + D-Carnitine[c] + H+[c] + Phosphate[c] 	G_b2679 and G_b2677 and G_b2678	  0.00	1000.00	  0.00
R_CRNDt2rpp	D-Carnitine[p] + H+[p] <=> D-Carnitine[c] + H+[c] 	G_b4111	-1000.00	1000.00	  0.00
R_CRNDtex	D-Carnitine[e] <=> D-Carnitine[p] 	G_b1377 or G_b2215 or G_b0241 or G_b0929	-1000.00	1000.00	  0.00
R_CRNabcpp	ATP C10H12N5O13P3[c] + L-Carnitine[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + L-Carnitine[c] + H+[c] + Phosphate[c] 	G_b2679 and G_b2677 and G_b2678	  0.00	1000.00	  0.00
R_CRNt2rpp	L-Carnitine[p] + H+[p] <=> L-Carnitine[c] + H+[c] 	G_b4111	-1000.00	1000.00	  0.00
R_CRNt7pp	L-Carnitine[p] + Gamma-butyrobetaine[c] => L-Carnitine[c] + Gamma-butyrobetaine[p] 	G_b0040	  0.00	1000.00	  0.00
R_CRNt8pp	D-Carnitine[c] + L-Carnitine[p] => D-Carnitine[p] + L-Carnitine[c] 	G_b0040	  0.00	1000.00	  0.00
